Year,Media,Market Share,
1996.0,Download Single,0.0,
1997.0,Download Single,0.0,
1998.0,Download Single,0.0,
1999.0,Download Single,0.0,
2000.0,Download Single,0.0,
2001.0,Download Single,0.0,
2002.0,Download Single,0.0,
2003.0,Download Single,0.0,
2004.0,Download Single,1.1,
2005.0,Download Single,3.1,
2006.0,Download Single,5.1,
2007.0,Download Single,7.8,
2008.0,Download Single,12.5,
2009.0,Download Single,16.9,
2010.0,Download Single,21.0,
1980.0,DVD Audio,0.0,
1981.0,DVD Audio,0.0,
1982.0,DVD Audio,0.0,
1983.0,DVD Audio,0.0,
1984.0,DVD Audio,0.0,
1985.0,DVD Audio,0.0,
1986.0,DVD Audio,0.0,
1987.0,DVD Audio,0.0,
1988.0,DVD Audio,0.0,
1989.0,DVD Audio,0.0,
1990.0,DVD Audio,0.0,
1991.0,DVD Audio,0.0,
1992.0,DVD Audio,0.0,
1993.0,DVD Audio,0.0,
1994.0,DVD Audio,0.0,
1995.0,DVD Audio,0.0,
1996.0,DVD Audio,0.0,
1997.0,DVD Audio,0.0,
1998.0,DVD Audio,0.0,
1999.0,DVD Audio,0.0,
2000.0,DVD Audio,0.0,
2001.0,DVD Audio,0.0,
2002.0,DVD Audio,0.1,
2003.0,DVD Audio,0.1,
2004.0,DVD Audio,0.1,
2005.0,DVD Audio,0.1,
2006.0,DVD Audio,0.0,
2007.0,DVD Audio,0.0,
2008.0,DVD Audio,0.0,
2009.0,DVD Audio,0.0,
2010.0,DVD Audio,0.0,
1980.0,Kiosk,0.0,
1981.0,Kiosk,0.0,
1982.0,Kiosk,0.0,
1983.0,Kiosk,0.0,
1984.0,Kiosk,0.0,
1985.0,Kiosk,0.0,
1986.0,Kiosk,0.0,
1987.0,Kiosk,0.0,
1988.0,Kiosk,0.0,
1989.0,Kiosk,0.0,
1990.0,Kiosk,0.0,
1991.0,Kiosk,0.0,
1992.0,Kiosk,0.0,
1993.0,Kiosk,0.0,
1994.0,Kiosk,0.0,
1995.0,Kiosk,0.0,
1996.0,Kiosk,0.0,
1997.0,Kiosk,0.0,
1998.0,Kiosk,0.0,
1999.0,Kiosk,0.0,
2000.0,Kiosk,0.0,
2001.0,Kiosk,0.0,
2002.0,Kiosk,0.0,
2003.0,Kiosk,0.0,
2004.0,Kiosk,0.0,
2005.0,Kiosk,0.0,
2006.0,Kiosk,0.0,
2007.0,Kiosk,0.0,
2008.0,Kiosk,0.0,
2009.0,Kiosk,0.1,
2010.0,Kiosk,0.1,
1980.0,LP/EP,59.8,
1981.0,LP/EP,58.9,
1982.0,LP/EP,53.1,
1983.0,LP/EP,44.6,
1984.0,LP/EP,35.7,
1985.0,LP/EP,29.4,
1986.0,LP/EP,21.2,
1987.0,LP/EP,14.3,
1988.0,LP/EP,8.5,
1989.0,LP/EP,3.3,
1990.0,LP/EP,1.1,
1991.0,LP/EP,0.4,
1992.0,LP/EP,0.1,
1993.0,LP/EP,0.1,
1994.0,LP/EP,0.1,
1995.0,LP/EP,0.2,
1996.0,LP/EP,0.3,
1997.0,LP/EP,0.3,
1998.0,LP/EP,0.2,
1999.0,LP/EP,0.2,
2000.0,LP/EP,0.2,
2001.0,LP/EP,0.2,
2002.0,LP/EP,0.2,
2003.0,LP/EP,0.2,
2004.0,LP/EP,0.2,
2005.0,LP/EP,0.1,
2006.0,LP/EP,0.1,
2007.0,LP/EP,0.2,
2008.0,LP/EP,0.6,
2009.0,LP/EP,0.8,
2010.0,LP/EP,1.3,
1980.0,Mobile,0.0,
1981.0,Mobile,0.0,
1982.0,Mobile,0.0,
1983.0,Mobile,0.0,
1984.0,Mobile,0.0,
1985.0,Mobile,0.0,
1986.0,Mobile,0.0,
1987.0,Mobile,0.0,
1988.0,Mobile,0.0,
1989.0,Mobile,0.0,
1990.0,Mobile,0.0,
1991.0,Mobile,0.0,
1992.0,Mobile,0.0,
1993.0,Mobile,0.0,
1994.0,Mobile,0.0,
1995.0,Mobile,0.0,
1996.0,Mobile,0.0,
1997.0,Mobile,0.0,
1998.0,Mobile,0.0,
1999.0,Mobile,0.0,
2000.0,Mobile,0.0,
2001.0,Mobile,0.0,
2002.0,Mobile,0.0,
2003.0,Mobile,0.0,
2004.0,Mobile,0.0,
2005.0,Mobile,3.4,
2006.0,Mobile,6.6,
2007.0,Mobile,9.9,
2008.0,Mobile,11.1,
2009.0,Mobile,9.5,
2010.0,Mobile,7.7,
1980.0,Music video,0.0,
1981.0,Music video,0.0,
1982.0,Music video,0.0,
1983.0,Music video,0.0,
1984.0,Music video,0.0,
1985.0,Music video,0.0,
1986.0,Music video,0.0,
1987.0,Music video,0.0,
1988.0,Music video,0.0,
1989.0,Music video,1.8,
1990.0,Music video,2.3,
1991.0,Music video,1.5,
1992.0,Music video,1.7,
1993.0,Music video,2.1,
1994.0,Music video,1.9,
1995.0,Music video,1.8,
1996.0,Music video,1.9,
1997.0,Music video,2.6,
1998.0,Music video,2.6,
1999.0,Music video,2.6,
2000.0,Music video,2.0,
2001.0,Music video,2.4,
2002.0,Music video,2.3,
2003.0,Music video,3.4,
2004.0,Music video,4.9,
2005.0,Music video,4.9,
2006.0,Music video,3.8,
2007.0,Music video,4.6,
2008.0,Music video,2.5,
2009.0,Music video,2.8,
2010.0,Music video,2.6,
1980.0,SACD,0.0,
1981.0,SACD,0.0,
1982.0,SACD,0.0,
1983.0,SACD,0.0,
1984.0,SACD,0.0,
1985.0,SACD,0.0,
1986.0,SACD,0.0,
1987.0,SACD,0.0,
1988.0,SACD,0.0,
1989.0,SACD,0.0,
1990.0,SACD,0.0,
1991.0,SACD,0.0,
1992.0,SACD,0.0,
1993.0,SACD,0.0,
1994.0,SACD,0.0,
1995.0,SACD,0.0,
1996.0,SACD,0.0,
1997.0,SACD,0.0,
1998.0,SACD,0.0,
1999.0,SACD,0.0,
2000.0,SACD,0.0,
2001.0,SACD,0.0,
2002.0,SACD,0.0,
2003.0,SACD,0.2,
2004.0,SACD,0.1,
2005.0,SACD,0.1,
2006.0,SACD,0.0,
2007.0,SACD,0.0,
2008.0,SACD,0.0,
2009.0,SACD,0.0,
2010.0,SACD,0.0,
1980.0,Subscription,0.0,
1981.0,Subscription,0.0,
1982.0,Subscription,0.0,
1983.0,Subscription,0.0,
1984.0,Subscription,0.0,
1985.0,Subscription,0.0,
1986.0,Subscription,0.0,
1987.0,Subscription,0.0,
1988.0,Subscription,0.0,
1989.0,Subscription,0.0,
1990.0,Subscription,0.0,
1991.0,Subscription,0.0,
1992.0,Subscription,0.0,
1993.0,Subscription,0.0,
1994.0,Subscription,0.0,
1995.0,Subscription,0.0,
1996.0,Subscription,0.0,
1997.0,Subscription,0.0,
1998.0,Subscription,0.0,
1999.0,Subscription,0.0,
2000.0,Subscription,0.0,
2001.0,Subscription,0.0,
2002.0,Subscription,0.0,
2003.0,Subscription,0.0,
2004.0,Subscription,0.0,
2005.0,Subscription,1.2,
2006.0,Subscription,1.8,
2007.0,Subscription,2.2,
2008.0,Subscription,2.5,
2009.0,Subscription,2.8,
2010.0,Subscription,2.9,
1980.0,vinyl single,6.8,
1981.0,vinyl single,6.5,
1982.0,vinyl single,7.7,
1983.0,vinyl single,7.1,
1984.0,vinyl single,6.9,
1985.0,vinyl single,6.4,
1986.0,vinyl single,4.9,
1987.0,vinyl single,3.7,
1988.0,vinyl single,2.9,
1989.0,vinyl single,1.8,
1990.0,vinyl single,1.3,
1991.0,vinyl single,0.8,
1992.0,vinyl single,0.7,
1993.0,vinyl single,0.5,
1994.0,vinyl single,0.4,
1995.0,vinyl single,0.4,
1996.0,vinyl single,0.4,
1997.0,vinyl single,0.3,
1998.0,vinyl single,0.2,
1999.0,vinyl single,0.2,
2000.0,vinyl single,0.2,
2001.0,vinyl single,0.2,
2002.0,vinyl single,0.2,
2003.0,vinyl single,0.2,
2004.0,vinyl single,0.2,
2005.0,vinyl single,0.1,
2006.0,vinyl single,0.1,
2007.0,vinyl single,0.0,
2008.0,vinyl single,0.0,
2009.0,vinyl single,0.0,
2010.0,vinyl single,0.0,
